year,gdp,inflation,unemployment,exports,imports
2000,10000,2.5,5.2,1500,1700
2001,10250,2.1,5.8,1480,1680
2002,10500,1.8,6.1,1520,1720
2003,11000,2.3,5.9,1600,1800
2004,11800,2.7,5.5,1750,1950
2005,12500,3.2,5.1,1900,2100
2006,13200,3.5,4.8,2100,2300
2007,14000,3.8,4.6,2300,2500
2008,13800,2.0,6.2,2200,2600
2009,13500,1.5,8.5,2100,2400
2010,14200,2.1,7.8,2250,2550
2011,15000,2.9,7.0,2400,2700
2012,15800,2.2,6.5,2600,2900
2013,16500,1.9,6.2,2750,3050
2014,17200,2.0,5.8,2900,3200
2015,18000,1.5,5.3,3100,3400
2016,18800,1.8,5.0,3300,3600
2017,19800,2.3,4.7,3550,3850
2018,21000,2.6,4.3,3800,4100
2019,22000,2.4,3.9,4000,4300
2020,21500,1.2,8.1,3700,4200
2021,23000,4.5,6.5,4100,4600
2022,24500,7.0,5.5,4500,5000
2023,26000,4.2,4.8,4800,5300
2024,27500,3.5,4.2,5100,5600
